ui_timestamp,sequence,backend_bid,backend_ask,backend_event_time,websocket_bid,websocket_ask,ui_bid,ui_ask,ui_event_time,receipt_to_dom_ms
2026-09-21T08:20:14.886000+00:00,68,4352.90,4353.32,2026-09-21T08:20:14.753000Z,4352.90,4353.32,4352.90,4353.32,2026-09-21T08:20:14.753000Z,71.916
2026-09-21T08:20:15.142000+00:00,69,4352.90,4353.31,2026-09-21T08:20:15.097000Z,4352.90,4353.31,4352.90,4353.31,2026-09-21T08:20:15.097000Z,137.613
2026-09-21T08:20:15.479000+00:00,71,4352.97,4353.38,2026-09-21T08:20:15.542000Z,4352.97,4353.38,4352.97,4353.38,2026-09-21T08:20:15.542000Z,60.342
2026-09-21T08:20:15.810000+00:00,72,4352.96,4353.38,2026-09-21T08:20:15.593000Z,4352.96,4353.38,4352.96,4353.38,2026-09-21T08:20:15.593000Z,177.831
2026-09-21T08:20:16.038000+00:00,74,4352.93,4353.34,2026-09-21T08:20:16.068000Z,4352.93,4353.34,4352.93,4353.34,2026-09-21T08:20:16.068000Z,12.816
2026-09-21T08:20:16.326000+00:00,75,4352.91,4353.33,2026-09-21T08:20:16.167000Z,4352.91,4353.33,4352.91,4353.33,2026-09-21T08:20:16.167000Z,98.614
2026-09-21T08:20:16.644000+00:00,76,4352.91,4353.33,2026-09-21T08:20:16.167000Z,4352.91,4353.33,4352.91,4353.33,2026-09-21T08:20:16.167000Z,210.836
2026-09-21T08:20:16.882000+00:00,78,4352.91,4353.33,2026-09-21T08:20:16.968000Z,4352.91,4353.33,4352.91,4353.33,2026-09-21T08:20:16.968000Z,40.593
2026-09-21T08:20:17.144000+00:00,79,4352.91,4353.33,2026-09-21T08:20:16.968000Z,4352.91,4353.33,4352.91,4353.33,2026-09-21T08:20:16.968000Z,97.065
2026-09-21T08:20:17.406000+00:00,80,4352.91,4353.33,2026-09-21T08:20:16.968000Z,4352.91,4353.33,4352.91,4353.33,2026-09-21T08:20:16.968000Z,153.482
2026-09-21T08:20:17.703000+00:00,81,4352.91,4353.32,2026-09-21T08:20:17.561000Z,,,4352.91,4353.32,2026-09-21T08:20:17.561000Z,248.368
2026-09-21T08:20:17.708000+00:00,82,4352.74,4353.16,2026-09-21T08:20:17.769000Z,4352.74,4353.16,4352.74,4353.16,2026-09-21T08:20:17.769000Z,44.057
2026-09-21T08:20:17.945000+00:00,83,4352.71,4353.12,2026-09-21T08:20:17.963000Z,4352.71,4353.12,4352.71,4353.12,2026-09-21T08:20:17.963000Z,70.833
2026-09-21T08:20:18.199000+00:00,84,4352.71,4353.13,2026-09-21T08:20:18.025000Z,4352.71,4353.13,4352.71,4353.13,2026-09-21T08:20:18.025000Z,127.417
2026-09-21T08:20:18.820000+00:00,87,4352.79,4353.21,2026-09-21T08:20:18.767000Z,4352.79,4353.21,4352.79,4353.21,2026-09-21T08:20:18.767000Z,129.931
2026-09-21T08:20:19.046000+00:00,88,4352.79,4353.21,2026-09-21T08:20:19.010000Z,4352.79,4353.21,4352.79,4353.21,2026-09-21T08:20:19.010000Z,147.542
2026-09-21T08:20:19.323000+00:00,89,4352.81,4353.22,2026-09-21T08:20:19.215000Z,4352.81,4353.22,4352.81,4353.22,2026-09-21T08:20:19.215000Z,227.427
2026-09-21T08:20:19.582000+00:00,91,4352.81,4353.23,2026-09-21T08:20:19.305000Z,4352.81,4353.23,4352.81,4353.23,2026-09-21T08:20:19.305000Z,53.472
2026-09-21T08:20:19.864000+00:00,92,4352.81,4353.23,2026-09-21T08:20:19.305000Z,4352.81,4353.23,4352.81,4353.23,2026-09-21T08:20:19.305000Z,124.984
2026-09-21T08:20:20.099000+00:00,93,4352.80,4353.22,2026-09-21T08:20:19.967000Z,4352.80,4353.22,4352.80,4353.22,2026-09-21T08:20:19.967000Z,158.608
2026-09-21T08:20:20.397000+00:00,95,4352.81,4353.22,2026-09-21T08:20:20.344000Z,4352.81,4353.22,4352.81,4353.22,2026-09-21T08:20:20.344000Z,29.014
2026-09-21T08:20:20.651000+00:00,96,4352.81,4353.23,2026-09-21T08:20:20.690000Z,4352.81,4353.23,4352.81,4353.23,2026-09-21T08:20:20.690000Z,77.044
2026-09-21T08:20:20.947000+00:00,97,4352.83,4353.24,2026-09-21T08:20:20.842000Z,4352.83,4353.24,4352.83,4353.24,2026-09-21T08:20:20.842000Z,156.888
2026-09-21T08:20:21.188000+00:00,98,4352.85,4353.27,2026-09-21T08:20:21.103000Z,4352.85,4353.27,4352.85,4353.27,2026-09-21T08:20:21.103000Z,189.952
2026-09-21T08:20:21.442000+00:00,100,4352.84,4353.26,2026-09-21T08:20:21.274000Z,4352.84,4353.26,4352.84,4353.26,2026-09-21T08:20:21.274000Z,28.199
2026-09-21T08:20:21.705000+00:00,101,4352.82,4353.24,2026-09-21T08:20:21.586000Z,4352.82,4353.24,4352.82,4353.24,2026-09-21T08:20:21.586000Z,91.253
2026-09-21T08:20:22.009000+00:00,102,4352.82,4353.24,2026-09-21T08:20:21.586000Z,4352.82,4353.24,4352.82,4353.24,2026-09-21T08:20:21.586000Z,202.911
2026-09-21T08:20:22.249000+00:00,104,4352.82,4353.23,2026-09-21T08:20:22.243000Z,4352.82,4353.23,4352.82,4353.23,2026-09-21T08:20:22.243000Z,33.718
2026-09-21T08:20:22.522000+00:00,105,4352.82,4353.23,2026-09-21T08:20:22.243000Z,4352.82,4353.23,4352.82,4353.23,2026-09-21T08:20:22.243000Z,103.822
2026-09-21T08:20:22.782000+00:00,106,4352.80,4353.22,2026-09-21T08:20:22.667000Z,4352.80,4353.22,4352.80,4353.22,2026-09-21T08:20:22.667000Z,162.003
2026-09-21T08:20:23.084000+00:00,108,4352.80,4353.22,2026-09-21T08:20:22.985000Z,4352.80,4353.22,4352.80,4353.22,2026-09-21T08:20:22.985000Z,53.225
2026-09-21T08:20:23.311000+00:00,109,4352.80,4353.22,2026-09-21T08:20:22.985000Z,4352.80,4353.22,4352.80,4353.22,2026-09-21T08:20:22.985000Z,72.162
2026-09-21T08:20:23.577000+00:00,110,4352.82,4353.23,2026-09-21T08:20:23.567000Z,4352.82,4353.23,4352.82,4353.23,2026-09-21T08:20:23.567000Z,117.178
2026-09-21T08:20:23.841000+00:00,111,4352.81,4353.22,2026-09-21T08:20:23.722000Z,4352.81,4353.22,4352.81,4353.22,2026-09-21T08:20:23.722000Z,175.733
2026-09-21T08:20:24.170000+00:00,113,4352.83,4353.24,2026-09-21T08:20:23.984000Z,4352.83,4353.24,4352.83,4353.24,2026-09-21T08:20:23.984000Z,93.378
2026-09-21T08:20:24.386000+00:00,114,4352.83,4353.24,2026-09-21T08:20:23.984000Z,4352.83,4353.24,4352.83,4353.24,2026-09-21T08:20:23.984000Z,109.328
2026-09-21T08:20:24.659000+00:00,115,4352.84,4353.25,2026-09-21T08:20:24.590000Z,4352.84,4353.25,4352.84,4353.25,2026-09-21T08:20:24.590000Z,178.682
2026-09-21T08:20:24.918000+00:00,117,4352.78,4353.19,2026-09-21T08:20:25.011000Z,4352.78,4353.19,4352.78,4353.19,2026-09-21T08:20:25.011000Z,29.272
2026-09-21T08:20:25.177000+00:00,118,4352.78,4353.20,2026-09-21T08:20:25.236000Z,4352.78,4353.20,4352.78,4353.20,2026-09-21T08:20:25.236000Z,63.943
2026-09-21T08:20:25.502000+00:00,119,4352.69,4353.11,2026-09-21T08:20:25.443000Z,4352.69,4353.11,4352.69,4353.11,2026-09-21T08:20:25.443000Z,191.105
2026-09-21T08:20:25.735000+00:00,121,4352.68,4353.09,2026-09-21T08:20:25.768000Z,4352.68,4353.09,4352.68,4353.09,2026-09-21T08:20:25.768000Z,14.946
2026-09-21T08:20:25.989000+00:00,122,4352.69,4353.11,2026-09-21T08:20:26.033000Z,4352.69,4353.11,4352.69,4353.11,2026-09-21T08:20:26.033000Z,63.731
2026-09-21T08:20:26.272000+00:00,123,4352.71,4353.12,2026-09-21T08:20:26.227000Z,4352.71,4353.12,4352.71,4353.12,2026-09-21T08:20:26.227000Z,142.259
2026-09-21T08:20:26.508000+00:00,124,4352.73,4353.14,2026-09-21T08:20:26.429000Z,4352.73,4353.14,4352.73,4353.14,2026-09-21T08:20:26.429000Z,167.505
2026-09-21T08:20:26.765000+00:00,126,4352.73,4353.14,2026-09-21T08:20:26.664000Z,4352.73,4353.14,4352.73,4353.14,2026-09-21T08:20:26.664000Z,17.221
2026-09-21T08:20:27.016000+00:00,127,4352.71,4353.13,2026-09-21T08:20:27.068000Z,4352.71,4353.13,4352.71,4353.13,2026-09-21T08:20:27.068000Z,62.376
2026-09-21T08:20:27.270000+00:00,128,4352.71,4353.13,2026-09-21T08:20:27.068000Z,4352.71,4353.13,4352.71,4353.13,2026-09-21T08:20:27.068000Z,114.731
2026-09-21T08:20:27.575000+00:00,129,4352.72,4353.13,2026-09-21T08:20:27.405000Z,4352.72,4353.13,4352.72,4353.13,2026-09-21T08:20:27.405000Z,214.255
2026-09-21T08:20:27.817000+00:00,131,4352.74,4353.15,2026-09-21T08:20:27.883000Z,4352.74,4353.15,4352.74,4353.15,2026-09-21T08:20:27.883000Z,40.643
2026-09-21T08:20:28.073000+00:00,132,4352.71,4353.12,2026-09-21T08:20:28.048000Z,4352.71,4353.12,4352.71,4353.12,2026-09-21T08:20:28.048000Z,94.361
2026-09-21T08:20:28.339000+00:00,133,4352.72,4353.13,2026-09-21T08:20:28.267000Z,4352.72,4353.13,4352.72,4353.13,2026-09-21T08:20:28.267000Z,154.223
2026-09-21T08:20:28.676000+00:00,135,4352.70,4353.12,2026-09-21T08:20:28.487000Z,4352.70,4353.12,4352.70,4353.12,2026-09-21T08:20:28.487000Z,66.834
2026-09-21T08:20:28.898000+00:00,136,4352.70,4353.12,2026-09-21T08:20:28.487000Z,4352.70,4353.12,4352.70,4353.12,2026-09-21T08:20:28.487000Z,87.818
2026-09-21T08:20:29.153000+00:00,137,4352.70,4353.12,2026-09-21T08:20:28.487000Z,4352.70,4353.12,4352.70,4353.12,2026-09-21T08:20:28.487000Z,135.469
2026-09-21T08:20:29.664000+00:00,140,4352.70,4353.12,2026-09-21T08:20:29.682000Z,4352.70,4353.12,4352.70,4353.12,2026-09-21T08:20:29.682000Z,37.696
2026-09-21T08:20:30.002000+00:00,141,4352.70,4353.11,2026-09-21T08:20:29.913000Z,4352.70,4353.11,4352.70,4353.11,2026-09-21T08:20:29.913000Z,145.127
2026-09-21T08:20:30.235000+00:00,142,4352.62,4353.03,2026-09-21T08:20:30.141000Z,4352.62,4353.03,4352.62,4353.03,2026-09-21T08:20:30.141000Z,193.989
2026-09-21T08:20:30.482000+00:00,144,4352.60,4353.01,2026-09-21T08:20:30.485000Z,4352.60,4353.01,4352.60,4353.01,2026-09-21T08:20:30.485000Z,33.554
2026-09-21T08:20:30.785000+00:00,145,4352.60,4353.02,2026-09-21T08:20:30.777000Z,4352.60,4353.02,4352.60,4353.02,2026-09-21T08:20:30.777000Z,131.703
2026-09-21T08:20:31.013000+00:00,146,4352.57,4352.99,2026-09-21T08:20:30.985000Z,4352.57,4352.99,4352.57,4352.99,2026-09-21T08:20:30.985000Z,157.596
2026-09-21T08:20:31.282000+00:00,148,4352.61,4353.03,2026-09-21T08:20:31.266000Z,4352.61,4353.03,4352.61,4353.03,2026-09-21T08:20:31.266000Z,9.262
2026-09-21T08:20:31.533000+00:00,149,4352.70,4353.12,2026-09-21T08:20:31.626000Z,4352.70,4353.12,4352.70,4353.12,2026-09-21T08:20:31.626000Z,31.398
2026-09-21T08:20:31.841000+00:00,150,4352.71,4353.12,2026-09-21T08:20:31.785000Z,4352.71,4353.12,4352.71,4353.12,2026-09-21T08:20:31.785000Z,136.325
2026-09-21T08:20:32.083000+00:00,151,4352.71,4353.12,2026-09-21T08:20:31.785000Z,4352.71,4353.12,4352.71,4353.12,2026-09-21T08:20:31.785000Z,175.076
2026-09-21T08:20:32.333000+00:00,153,4352.71,4353.13,2026-09-21T08:20:32.262000Z,4352.71,4353.13,4352.71,4353.13,2026-09-21T08:20:32.262000Z,8.601
2026-09-21T08:20:32.584000+00:00,154,4352.72,4353.13,2026-09-21T08:20:32.586000Z,4352.72,4353.13,4352.72,4353.13,2026-09-21T08:20:32.586000Z,62.984
2026-09-21T08:20:32.844000+00:00,155,4352.71,4353.13,2026-09-21T08:20:32.747000Z,4352.71,4353.13,4352.71,4353.13,2026-09-21T08:20:32.747000Z,115.598
2026-09-21T08:20:33.153000+00:00,156,4352.70,4353.11,2026-09-21T08:20:32.988000Z,4352.70,4353.11,4352.70,4353.11,2026-09-21T08:20:32.988000Z,221.546
2026-09-21T08:20:33.386000+00:00,158,4352.71,4353.12,2026-09-21T08:20:33.471000Z,4352.71,4353.12,4352.71,4353.12,2026-09-21T08:20:33.471000Z,41.306
2026-09-21T08:20:33.650000+00:00,159,4352.69,4353.10,2026-09-21T08:20:33.602000Z,4352.69,4353.10,4352.69,4353.10,2026-09-21T08:20:33.602000Z,109.137
2026-09-21T08:20:33.919000+00:00,160,4352.69,4353.11,2026-09-21T08:20:33.813000Z,4352.69,4353.11,4352.69,4353.11,2026-09-21T08:20:33.813000Z,171.507
2026-09-21T08:20:34.221000+00:00,162,4352.70,4353.11,2026-09-21T08:20:34.259000Z,4352.70,4353.11,4352.70,4353.11,2026-09-21T08:20:34.259000Z,55.267
